original	translation	mean	scores	z_scores	z_mean	source_lang	target_lang
According to law, the 2nd Respondent has to treat that vote as valid and counted in favour of the petitioner herein in whose favour '1' is put on the ballot paper and by ignoring the subsequent figure.	சட்டத்தின்படி, 2-வது பிரதிவாதி அந்த வாக்கை செல்லுபடியாகும் என்று கருதி, இங்கே மனுதாரருக்கு ஆதரவாக '1' வாக்குச்சீட்டில் வைக்கப்பட்டு, அதைத் தொடர்ந்து வரும் எண்ணிக்கையை புறக்கணிப்பதன் மூலம் அவருக்கு ஆதரவாக எண்ணப்பட வேண்டும்.	84.33333333333333	[85,83,85]	[-0.007634127875222391, -0.03814375769126508, -0.06583992963036231]	-0.0372059383989499	en	tamil
He had come from Kashmir and had brought a box, which he told me contained some shawls and pashmina materials from Kashmir.	அவர் காஷ்மீரில் இருந்து ஒரு பெட்டியை கொண்டு வந்திருந்தார், அதில் காஷ்மீரிலிருந்து சில சால்வைகள் மற்றும் பஷ்மினா பொருட்கள் இருந்தன என்று அவர் என்னிடம் கூறினார்.	93.0	[90,95,94]	[0.2847011846332932, 0.6184291206010091, 0.506839287090999]	0.4699898641084337	en	tamil
8. Over - eating should be avoided to prevent over - weight and obesity.	அதிக எடை மற்றும் உடல் பருமன் ஆகியவற்றைத் தடுக்க அளவுக்கு அதிகமாக சாப்பிடுவதைத் தவிர்க்க வேண்டும்.	98.33333333333331	[98,99,98]	[0.7524376846469182, 0.8372867466984337, 0.761363383411604]	0.7836959382523186	en	tamil
The addition of the allegation of interference with the investigations in the Puttingal Temple tragedy is a further attempt in that direction –	புத்திங்கல் கோவில் துயர சம்பவத்தில் புலனாய்வில் தலையீடு என்ற குற்றச்சாட்டு அந்த திசையில் மேலும் ஒரு முயற்சியாகும்.	77.66666666666667	[70,84,79]	[-0.8846400654007692, 0.016570648833091096, -0.44762607411126987]	-0.4385651635596493	en	tamil
The following facts emerge from the abovesaid confession: i)	மேற்கண்ட வாக்குமூலத்திலிருந்து பின்வரும் உண்மைகள் வெளிப்படுகின்றனஃ	90.33333333333331	[90,89,92]	[0.2847011846332932, 0.290142681454872, 0.3795772389306965]	0.3181403683396205	en	tamil
The parties shall be represented by agents.	கட்சிகளின் பிரதிநிதிகள் முகவர்களால் பிரதிநிதித்துவம் செய்யப்பட வேண்டும்.	96.66666666666669	[98,95,97]	[0.7524376846469182, 0.6184291206010091, 0.6977323593314528]	0.6895330548597934	en	tamil
The appellant/decree holder purchased schedule item No.2 property to an extent of 1 acre and 50 cents comprised in Survey No.458/1 of Parassala Village along with the building situated therein.	மேல்முறையீட்டாளர்/தீர்ப்பாயதாரர் அட்டவணை எண். 2-ஐ ஒரு ஏக்கர் நிலப்பரப்பிற்கு வாங்கியதுடன், அதில் அமைந்துள்ள கட்டிடத்துடன், பரசாலா கிராமத்தின் நில அளவை எண். 458/1-ல் உள்ள 50 சென்ட் நிலத்தையும் வாங்கினார்.	89.66666666666667	[90,88,91]	[0.2847011846332932, 0.2354282749305158, 0.31594621485054525]	0.2786918914714514	en	tamil
The appellant may be correct that observations of the learned Single Judge in this behalf, namely, it was an undisputed fact that, are incorrect.	இது தொடர்பாக கற்றறிந்த ஒற்றை நீதிபதியின் அவதானிப்புகள், அதாவது, அது தவறானது என்பது மறுக்கமுடியாத உண்மை என்பது மேல்முறையீட்டாளர் சரியானதாக இருக்கலாம்.	78.33333333333333	[70,86,79]	[-0.8846400654007692, 0.12599946188180344, -0.44762607411126987]	-0.4020888925434119	en	tamil
It is commendable that the Coir Board has developed the Mahila Coir Yojna Scheme to specifically focus on women in rural areas – and train them to take up spinning of coir yarn and other simple processes in coir manufacturing.	மகளிர் கயிறு திட்டம் என்ற திட்டத்தை கயிறு வாரியம் உருவாக்கியிருப்பது பாராட்டுக்குரியது. குறிப்பாக கிராமப்புறங்களில் உள்ள பெண்களுக்கு கயிறு நூல் நூல் மற்றும் இதர எளிய செயல்முறைகளில் கயிறு தயாரிப்பதில் பயிற்சி அளிப்பது பாராட்டுக்குரியது.	90.33333333333331	[90,90,91]	[0.2847011846332932, 0.34485708797922815, 0.31594621485054525]	0.3151681624876888	en	tamil
The Ministry has drafted the Mines and Minerals (Development and Regulation) (MMDR)	சுரங்கங்கள் மற்றும் கனிமங்கள் (மேம்பாடு மற்றும் ஒழுங்குமுறை) (எம். எம். டி. ஆர்.)	58.333333333333336	[45,70,60]	[-2.2400327945127767, -0.8264811325863429, -1.5944811968002948]	-1.553665041299805	en	tamil
FIR No.122 of 2010 is registered under , read with of the IPC.	இந்திய தண்டனைச் சட்டத்தின் கீழ், 2010 ஆம் ஆண்டின் முதல் தகவல் அறிக்கை எண். 122 பதிவு செய்யப்பட்டுள்ளது.	95.0	[98,94,93]	[0.7524376846469182, 0.5637147140766529, 0.44320826301084776]	0.5864535539114729	en	tamil
The figures made available through RTI inquiry reveal that during the particular period, a large number of mercy petitions remained pending with the President giving rise to unwarranted speculations.	தகவல் அறியும் உரிமைச் சட்டத்தின் மூலம் பெறப்பட்ட புள்ளி விவரங்கள் குறிப்பிட்ட காலகட்டத்தில், குடியரசுத் தலைவரின் கருணை மனுக்கள் நிலுவையில் இருந்ததை வெளிப்படுத்துகின்றன.	46.66666666666666	[45,50,45]	[-2.3463166279433474, -1.8437191729950189, -2.6110808928364126]	-2.2670388979249263	en	tamil
Our focus has to be on innovations for low cost technologies, machines and tools to transform subsistence farming into a viable and rewarding profession.	குறைந்த செலவிலான தொழில்நுட்பங்கள், இயந்திரங்கள் மற்றும் கருவிகளுக்கான கண்டுபிடிப்புகளில் நமது கவனம் இருக்க வேண்டும்.	76.33333333333333	[98,50,81]	[0.7524376846469182, -1.8437191729950189, -0.32036402595096736]	-0.4705485047663559	en	tamil
This section makes a member of the unlawful assembly responsible as a principal for the acts of each, and all, merely because he is a member of an unlawful assembly.	சட்டவிரோத கூட்டத்தின் ஒவ்வொரு செயலுக்கும், சட்டவிரோத கூட்டத்தின் உறுப்பினராக இருப்பதால் மட்டுமே, சட்டவிரோத கூட்டத்தின் உறுப்பினரை முதன்மை பொறுப்பாக்குகிறது.	87.0	[85,91,85]	[-0.007634127875222391, 0.3995714945035843, -0.06583992963036231]	0.1086991456659998	en	tamil
English speaking classes for the residents of President’s Estate were started by President's Secretariat in association with Tata Power Delhi Distribution Limited (TPDDL) as a welfare measure.	குடியரசுத் தலைவர் மாளிகையில் வசிப்பவர்களுக்கு ஆங்கில மொழி பேசும் வகுப்புகள் டாடா பவர் தில்லி விநியோக நிறுவனத்துடன் இணைந்து குடியரசுத் தலைவரின் செயலகத்தால் தொடங்கப்பட்டன.	90.0	[98,83,89]	[0.7524376846469182, -0.03814375769126508, 0.18868416669024274]	0.3009926978819652	en	tamil
(5) The provisions of this section shall apply in respect of assessments for the assessment year commencing on the 1st day of April, 1992 and subsequent years.	1992 ஆம் ஆண்டு ஏப்ரல் திங்கள் 1 ஆம் நாள் தொடங்கும் வரிவிதிப்பு ஆண்டுக்கும் அதனைத் தொடர்ந்த ஆண்டுகளுக்கும் இந்தப் பிரிவின் வகையங்கள் பொருந்தும்.	90.0	[90,92,88]	[0.2847011846332932, 0.45428590102794053, 0.12505314261009146]	0.288013409423775	en	tamil
In the Writ Petition, some other connected issues have also been raised to which reference will be made in due course.	ரிட் மனுவில், தொடர்புடைய வேறு சில பிரச்சினைகளும் எழுப்பப்பட்டுள்ளன. அவை குறித்தும் உரிய காலத்தில் குறிப்பிடப்படும்.	94.66666666666669	[98,90,96]	[0.7524376846469182, 0.34485708797922815, 0.6341013352513015]	0.5771320359591493	en	tamil
The Court observed that it essentially depends upon the ouster in each clause, which means that unless there is an express bar that provides (1992) 1 SCC 508 (1996)	(1992) 1 எஸ். சி. சி. 508 (1996) ஐ வழங்குகின்ற ஒரு விரைவுப் பாதை இல்லாவிட்டால், ஒவ்வொரு பிரிவிலும் வெளியேற்றப்படுவதைப் பொறுத்தே இது அமையும் என்று நீதிமன்றம் குறிப்பிட்டது.	83.33333333333333	[70,95,85]	[-0.8846400654007692, 0.6184291206010091, -0.06583992963036231]	-0.1106836248100408	en	tamil
The appellant shall however not be entitled to initiate any proceeding/prosecution for violation of the old law in this respect, even if notices of such violation were issued, as in our opinion, considering the nature of offence, the long time which has elapsed and the doubt which has arisen whether such prosecution will be within the prescribed time, it is not deemed expedient that the state resources in this regard, which are already strained, be expended thereon.  5)	எனினும், எங்களது கருத்தின்படி, பழைய சட்டத்தை மீறியதற்காக எந்தவொரு நடவடிக்கையையும்/வழக்கை தொடங்க மேல்முறையீட்டாளருக்கு உரிமை இல்லை, அத்தகைய மீறல் பற்றிய நோட்டீஸ் வழங்கப்பட்டாலும், குற்றத்தின் தன்மை, நீண்ட காலம் கழிந்த காரணத்தாலும், அத்தகைய வழக்கு குறிப்பிட்ட காலத்திற்குள் இருக்குமா என்ற சந்தேகம் எழுந்ததாலும், ஏற்கனவே சிக்கலில் உள்ள இந்த விஷயத்தில் அரசு ஆதாரங்களை செலவழிப்பது உகந்ததாக கருதப்படுவதில்லை.	93.0	[90,95,94]	[0.2847011846332932, 0.6184291206010091, 0.506839287090999]	0.4699898641084337	en	tamil
The High Court has, in the impugned order, denied the jurisdiction vested in the Government in the scheme of the Act to examine a case for the purpose of satisfying itself as to whether there exists a dispute for referring to the Labour Court/Industrial Tribunal for adjudication.	தொழிலாளர் நீதிமன்றம்/தொழிற்துறை தீர்ப்பாயத்தை தீர்ப்புக்காக அனுப்புவதில் ஏதேனும் பிரச்சினை உள்ளதா என்பதை திருப்திப்படுத்தும் நோக்கத்துடன் ஒரு வழக்கை ஆய்வு செய்வதற்கான சட்டத்தின் திட்டத்தில் அரசுக்கு வழங்கப்பட்டுள்ள அதிகார வரம்பை உயர்நீதிமன்றம் மறுத்துள்ளது.	89.0	[90,89,88]	[0.2847011846332932, 0.290142681454872, 0.12505314261009146]	0.2332990028994188	en	tamil
Fundamentals of fair play require that the person concerned should be given an opportunity to represent his case before he is put on the blacklist.	நியாயமான விளையாட்டின் அடிப்படைகள் சம்பந்தப்பட்ட நபரை கருப்புப் பட்டியலில் சேர்ப்பதற்கு முன்பு அவர் தனது வழக்கை முன்வைக்க ஒரு வாய்ப்பை வழங்க வேண்டும்.	88.66666666666667	[90,87,89]	[0.2847011846332932, 0.18071386840615963, 0.18868416669024274]	0.2180330732432318	en	tamil
At that time, the Empire was facing challenges from the Marathas and the British.	அந்த நேரத்தில், பேரரசு மராட்டியர்கள் மற்றும் ஆங்கிலேயர்களிடமிருந்து சவால்களை எதிர்கொண்டிருந்தது.	93.0	[98,90,91]	[0.7524376846469182, 0.34485708797922815, 0.31594621485054525]	0.4710803291588972	en	tamil
It was, thus, argued that the parties were bound by the arbitration agreement and there was no reason to file the civil suit.	எனவே, இரு தரப்பினரும் நடுவர் உடன்படிக்கைக்கு கட்டுப்பட்டவர்கள் என்றும் சிவில் வழக்கை தாக்கல் செய்ய எந்த காரணமும் இல்லை என்றும் வாதிடப்பட்டது.	90.66666666666669	[90,90,92]	[0.2847011846332932, 0.34485708797922815, 0.3795772389306965]	0.3363785038477392	en	tamil
In fact, a three Judge Bench in [4] while considering an identical issue, namely, the validity of the grant of sanction by the Additional Secretary of the Department of Law and Legislative Affairs of the Government of Madhya Pradesh instead of the authority in the parent department, this Court held that in view of (3) of the , interdicting a criminal proceeding mid-course on ground of invalidity of the sanction order will not be appropriate unless the court can also reach the conclusion that failure of justice had been occasioned by any such error, omission or irregularity in the sanction.	உண்மையில், இதே போன்ற ஒரு பிரச்சினையை பரிசீலித்த மூன்று நீதிபதிகள் அமர்வு [4], அதாவது, மத்தியப் பிரதேச அரசின் சட்டம் மற்றும் சட்டமன்ற விவகாரங்கள் துறையின் கூடுதல் செயலாளரால் ஒப்புதல் வழங்கப்பட்டதன் செல்லுபடியாகும் தன்மை, அதாவது, (3) இன் அடிப்படையில், ஒப்புதல் உத்தரவின் செல்லாது என்ற அடிப்படையில் ஒரு குற்றவியல் நடவடிக்கையை இடைமறிப்பது பொருத்தமானது அல்ல என்று இந்த நீதிமன்றம் தீர்ப்பளித்தது.	48.66666666666666	[25,93,28]	[-3.5156578779774095, 0.5090003075522966, -3.692808302198984]	-2.233155290874699	en	tamil
PRESIDENT RELEASES A COMMEMORATIVE STAMP ON THE OCCASION OF BICENTENARY CELEBRATIONS OF THE 3RD BATTALION PARACHUTE REGIMENT (SPECIAL FORCES), Rashtrapati Bhavan : 02.03.2013	3-வது படைப்பிரிவு பாராசூட் ரெஜிமென்ட் (சிறப்பு படை) நினைவு நாள் கொண்டாட்டங்கள் – குடியரசுத் தலைவர் நினைவு அஞ்சல் தலையை வெளியிட்டார், குடியரசுத் தலைவர் மாளிகைஃ 02.03.2013	92.33333333333331	[90,95,92]	[0.2847011846332932, 0.6184291206010091, 0.3795772389306965]	0.4275691813883329	en	tamil
The following passages in the counter affidavit are relevant in this context.	இந்த விஷயத்தில் எதிர் பிரமாணப் பத்திரத்தில் உள்ள பின்வரும் பகுதிகள் பொருத்தமானவை.	90.66666666666669	[90,93,89]	[0.2847011846332932, 0.5090003075522966, 0.18868416669024274]	0.3274618862919442	en	tamil
……………………………………………………J. (SHIVA KIRTI SINGH)	(சிவ கீர்த்தி சிங்)	83.0	[90,78,81]	[0.2847011846332932, -0.31171579031304597, -0.32036402595096736]	-0.11579287721024	en	tamil
A New Education Policy is being formulated.	புதிய கல்விக் கொள்கை உருவாக்கப்பட்டு வருகிறது.	97.0	[98,95,98]	[0.7524376846469182, 0.6184291206010091, 0.761363383411604]	0.7107433962198438	en	tamil
Trans Eurasia Information Network - Phase 3 (TEIN3) under EU Co - operation.	ஐரோப்பிய ஒன்றிய ஒத்துழைப்பின் கீழ் மூன்றாம் கட்ட யூரேசியா தகவல் வலைப்பின்னல் (Trans Eurasia Information Network-TEIN3)	88.33333333333333	[80,95,90]	[-0.299969440383738, 0.6184291206010091, 0.252315190770394]	0.1902582903292216	en	tamil
Speech by The President Of India, Shri Pranab Mukherjee at The Presentation of The National Awards for the year 2013 for The Empowerment of Persons With Disabilities	மாற்றுத்திறனாளிகளுக்கு அதிகாரமளித்தலுக்கான 2013-ஆம் ஆண்டுக்கான தேசிய விருதுகள் வழங்கும் விழாவில் குடியரசுத் தலைவர் திரு பிரணாப் முகர்ஜி ஆற்றிய உரை	88.33333333333333	[98,80,87]	[0.7701532630221415, -0.24346678962193632, 0.11592771514281035]	0.2142047295143384	en	tamil
The Rule under challenge in fact equates these two.	சவாலில் உள்ள விதி உண்மையில் இந்த இரண்டையும் சமப்படுத்துகிறது.	94.0	[98,90,94]	[0.7524376846469182, 0.34485708797922815, 0.506839287090999]	0.5347113532390485	en	tamil
Rajesh, a farmer, uses the gasifier for another purpose. '	"""ராஜேஷ் என்ற விவசாயி இந்த எரிவாயுவை மற்றொரு நோக்கத்திற்காக பயன்படுத்துகிறார்."" """""	93.33333333333331	[90,95,95]	[0.2847011846332932, 0.6184291206010091, 0.5704703111711503]	0.4912002054684842	en	tamil
Similarly, the authorities cannot be faulted for not taking physical possession of the land covered in the present appeals in as much as it is not that the authorities had on their own volition not taken possession of the acquired land of the appellants.	அதேபோல், தற்போதைய மேல்முறையீடுகளில் உள்ளடக்கப்பட்ட நிலத்தை அதிகாரிகள் தங்கள் சொந்த விருப்பத்தின் பேரில் கையகப்படுத்தவில்லை என்பதற்காக அதிகாரிகள் மீது குற்றம் சாட்ட முடியாது.	43.333333333333336	[35,50,45]	[-2.9309872529603784, -1.8437191729950189, -2.6110808928364126]	-2.4619291062639364	en	tamil
And again: - 10.	மீண்டும்:-10.	97.33333333333331	[98,98,96]	[0.7524376846469182, 0.7825723401740775, 0.6341013352513015]	0.7230371200240991	en	tamil
In para 269 (of SCC supra), Misra, J. observed --“Thus, the appeals bearing Nos.597-598 of 2010 preferred by the appellants/respondents Sushil Ansal and Gopal Ansal are dismissed except that the sentence imposed on Appellant1	மிஸ்ரா, பத்தி 269 (எஸ். சி. சி. உப்ரா)-இல், “எனவே, மேல்முறையீட்டாளர்கள்/பிரதிவாதிகளான சுஷில் அன்சால் மற்றும் கோபால் அன்சால் ஆகியோரால் தாக்கல் செய்யப்பட்ட 2010 ஆம் ஆண்டின் எண் 597-598 தொடர்பான மேல்முறையீடுகள், மேல்முறையீட்டாளர் மீது விதிக்கப்பட்ட தண்டனை தவிர தள்ளுபடி செய்யப்படுகின்றன.	82.33333333333333	[70,94,83]	[-0.8846400654007692, 0.5637147140766529, -0.19310197779066482]	-0.1713424430382604	en	tamil
Its ethos and multi-layered culture has held generations in thrall.	அதன் பண்பாடும், பன்முக கலாச்சாரமும் பல தலைமுறைகளாக நிலைத்து நின்றன.	98.0	[98,99,97]	[0.7524376846469182, 0.8372867466984337, 0.6977323593314528]	0.7624855968922682	en	tamil
The issue of whether a judicial officer has been actuated by an oblique motive or corrupt practice has to be determined upon a careful appraisal of the material on the record.	ஒரு நீதித்துறை அதிகாரி மறைமுகமான நோக்கத்துடன் செயல்பட்டாரா அல்லது ஊழல் நடைமுறையால் செயல்பட்டாரா என்பது ஆவணத்தில் உள்ள விஷயங்களை கவனமாக மதிப்பிட்டு தீர்மானிக்கப்பட வேண்டும்.	91.66666666666669	[90,94,91]	[0.315785556224418, 0.572753290528233, 0.36932162802327034]	0.419286824925307	en	tamil
This Court rejected the plea of Ram Preeti Yadav both in law and fact, but in Priya Gupta’s case it was rejected in law?	இந்த நீதிமன்றம் சட்டம் மற்றும் உண்மை இரண்டிலும் ராம் பிரீத்தி யாதவின் மனுவை நிராகரித்தது, ஆனால் பிரியா குப்தா வழக்கில் அது சட்டத்தில் நிராகரிக்கப்பட்டதா?	92.33333333333331	[90,95,92]	[0.2847011846332932, 0.6184291206010091, 0.3795772389306965]	0.4275691813883329	en	tamil
installation of idols and conduct of worship of the Deity.	சிலைகளை நிறுவுதல் மற்றும் தெய்வங்களை வழிபடுதல்.	97.33333333333331	[98,95,99]	[0.7524376846469182, 0.6184291206010091, 0.8249944074917553]	0.7319537375798942	en	tamil
According to PW-2, two years prior to the incident in connection with Soma’s (A-1) daughter, there was a gunshot firing by the appellants Bijendra (A-5) and Tirath (	சோமாவின் (ஏ-1) மகள் தொடர்பான சம்பவத்திற்கு இரண்டு ஆண்டுகளுக்கு முன்பு, மனுதாரர்கள் பிஜேந்திரா (ஏ-5) மற்றும் தீரத் (ஏ-1) ஆகியோர் துப்பாக்கியால் சுட்டதாக பி. டபிள்யூ-2 கூறுகிறது.	88.66666666666667	[90,87,89]	[0.2847011846332932, 0.18071386840615963, 0.18868416669024274]	0.2180330732432318	en	tamil
This helps in breaking down heavier hydrocarbons and tars.	அதிக எடை கொண்ட ஹைட்ரோகார்பன்கள் மற்றும் தார் ஆகியவற்றை உடைக்க இது உதவுகிறது.	97.66666666666669	[98,96,99]	[0.7524376846469182, 0.6731435271253652, 0.8249944074917553]	0.7501918730880129	en	tamil
Speech by The President of India, Shri Pranab Mukherjee at The Silver Jubilee celebration of Indira Gandhi National Centre for The Arts	இந்திரா காந்தி தேசிய கலை மையத்தின் வெள்ளி விழா நிகழ்ச்சியில் குடியரசுத் தலைவர் திரு பிரணாப் முகர்ஜி ஆற்றிய உரை	90.66666666666669	[98,84,90]	[0.7524376846469182, 0.016570648833091096, 0.252315190770394]	0.3404411747501344	en	tamil
Excellency, I am confident that the discussions we have had during my visit will lead to fruitful engagement and meaningful outcomes in all areas of our mutual interest.	மேதகு அதிபர் அவர்களே, எனது பயணத்தின் போது நாங்கள் மேற்கொண்ட விவாதங்கள் நமது பரஸ்பர நலன் சார்ந்த அனைத்துத் துறைகளிலும் பயனுள்ள செயல்பாடுகளுக்கும், அர்த்தமுள்ள விளைவுகளுக்கும் வழிவகுக்கும் என்று நான் நம்புகிறேன்.	88.66666666666667	[91,86,89]	[0.37258151957413344, 0.10634181615670765, 0.24262467158304035]	0.2405160024379604	en	tamil
These industries offers several opportunities for attracting investments and facilitating trade.	முதலீடுகளை ஈர்ப்பதற்கும், வர்த்தகத்தை ஊக்குவிப்பதற்கும் இந்த தொழிற்சாலைகள் பல்வேறு வாய்ப்புகளை வழங்குகின்றன.	99.0	[98,100,99]	[0.7524376846469182, 0.8920011532227899, 0.8249944074917553]	0.8231444151204879	en	tamil
We, thus, do not find any patent error in the calculation of the vacancy by the High court in the administrative side and consequently the recruitment made from three different streams was well within such determination and cannot be faulted.	எனவே, நிர்வாகப் பிரிவில் உயர் நீதிமன்றம் காலியிடங்களைக் கணக்கிடுவதில் காப்புரிமை பிழைகள் எதையும் நாங்கள் காணவில்லை, இதன் விளைவாக மூன்று வெவ்வேறு பிரிவுகளிலிருந்து நடத்தப்பட்ட ஆட்சேர்ப்பு அத்தகைய தீர்மானத்திற்குள்ளேயே இருந்தது, அதை தவறு என்று சொல்ல முடியாது.	89.66666666666667	[90,89,90]	[0.2847011846332932, 0.290142681454872, 0.252315190770394]	0.2757196856195197	en	tamil
, the expression used is “amount of debts due and owing from the deceased, payable by law out of the estate  which appeared in the third schedule of the , 1870.	1870 ஆம் ஆண்டின் மூன்றாவது அட்டவணையில் காணப்பட்ட சொத்துக்களிலிருந்து சட்டத்தின் மூலம் செலுத்தப்பட வேண்டிய கடன்களின் தொகை என்பது பயன்படுத்தப்படுகிறது.	63.333333333333336	[40,85,65]	[-2.638651940451863, 0.07128505535744727, -1.3384604112333875]	-1.301942432109268	en	tamil
|Means the Unit in respect of which|	அதாவது எந்த அலகு தொடர்பாக?	82.0	[70,96,80]	[-0.8846400654007692, 0.6731435271253652, -0.3839950500311186]	-0.1984971961021742	en	tamil
(2) Whether Parliament intended to lay down an exhaustive code in respect of the subject matter replacing the Act of the State Legislature	(2) மாநிலச் சட்டப்பேரவையின் சட்டத்தை மாற்றியமைத்து, அந்தப் பொருட்பாடு தொடர்பாக முழுமையான நெறிமுறைகளை வகுக்க நாடாளுமன்றம் எண்ணியிருக்கிறதா?	75.0	[70,80,75]	[-0.8846400654007692, -0.20228697726433362, -0.7021501704318749]	-0.5963590710323259	en	tamil
3 had ever been adopted by the deceased Yashoda.	3-ஐ இறந்த யசோதா எப்போதுமே தத்தெடுத்திருப்பார்.	74.33333333333333	[88,60,75]	[0.16776705962988697, -1.2965751077514571, -0.7021501704318749]	-0.6103194061844817	en	tamil
thus aims to protect the economic interest of a consumer as understood in commercial sense as a purchaser of goods and in the larger sense of user of services.	இதன் மூலம் நுகர்வோரின் பொருளாதார நலன்களைப் பாதுகாப்பதும், பொருட்களை வாங்குபவராக, சேவைகளைப் பயன்படுத்துபவராக வணிகரீதியாக புரிந்து கொள்வதும் இதன் நோக்கமாகும்.	92.33333333333331	[90,94,93]	[0.2847011846332932, 0.5637147140766529, 0.44320826301084776]	0.4305413872402646	en	tamil
) Identity is necessarily a plural concept.	அடையாளம் என்பது பன்முக கருத்தாகும்.	89.33333333333333	[90,90,88]	[0.2847011846332932, 0.34485708797922815, 0.12505314261009146]	0.2515371384075376	en	tamil
