original	translation	mean	source_lang	target_lang
In the fullest account in the Bibliotheca of Pseudo-Apollodorus, Heracles had to go to the island of Erytheia in the far west (sometimes identified with the Hesperides, or with the island which forms the city of Cádiz) to get the cattle.	సాయుడు-అపోలోడోర్స్ యొక్క లైబ్రూటెక్స్లో ఉన్న పూర్తి వివరణలో, హెరాక్లెస్ పశ్చిమంలో ఎరిథియా ద్వీపానికి (కొన్నిసార్లు హెస్పరీడ్స్తో లేదా కాడిజ్ నగరాన్ని ఏర్పరుస్తున్న ద్వీపంతో గుర్తించబడ్డాడు) పశువులను పొందడానికి వెళ్ళవలసి వచ్చింది.	80.0	en	telugu
Production of calcium carbide in China has been increasing.	చైనాలో కాల్షియం కార్బైడ్ ఉత్పత్తి పెరుగుతూనే ఉంది.	90.0	en	telugu
Several traditional indigenous sports remain fairly popular, such as kabaddi, kho kho, pehlwani and gilli-danda.	కబడ్డీ, కో కో, పెహ్ల్వానీ, గిల్లి డాండా వంటి అనేక సాంప్రదాయ స్థానిక క్రీడలు ఇప్పటికీ బాగా ప్రాచుర్యం పొందాయి.	80.0	en	telugu
North Korea's most famous restaurant, Okryu-gwan, located in Pyongyang, is known for its raengmyeon cold noodles.	ఉత్తర కొరియా యొక్క అత్యంత ప్రసిద్ధ రెస్టారెంట్, ఓక్రు-గ్వాన్, పియోంగ్యాంగ్లో ఉంది, దాని రాంగ్మీన్ చల్లని నూడుల్స్ కోసం ప్రసిద్ది చెందింది.	76.6666666666667	en	telugu
"""Theoretically, the HPV DNA and RNA tests could be used to identify HPV infections in cells taken from any part of the body."	"""సాహిత్యపరంగా, శరీరంలోని ఏ భాగంలోనైనా తీసుకున్న కణాలలో HPV సంక్రమణలను గుర్తించడానికి HPV DNA మరియు RNA పరీక్షలను ఉపయోగించవచ్చు."	66.6666666666667	en	telugu
S. S. Rajamouli choreographed the action sequences of the film.	ఎస్. ఎస్. రాజమౌలీ ఈ సినిమా యాక్షన్ సీక్వెన్స్ ను నిర్మాతగా చిత్రీకరించారు.	61.6666666666667	en	telugu
Realising the prowess of those high-souled princes, the sons of Vitahavya, King Divodasa, endued with great energy, rebuilt and fortified the city of Baranasi (Varanasi or Banaras) at Indra's command.	ఆ గొప్ప ఆత్మగల యువరాజుల శక్తిని గ్రహించిన వితావ్యా కుమారుడు రాజైన డివోడాసా, గొప్ప శక్తితో నిండిన ఇంద్రుని ఆదేశం మేరకు బారణాసి నగరాన్ని (వారణాసి లేదా బనారస్) పునర్నిర్మించి, బలపరిచారు.	65.0	en	telugu
"Godse claimed that Gandhi never really said ""Hey Ram"" as he was dying and this was just a ploy of the government to prove that he was, indeed, a staunch Hindu who deserved to be elevated to sainthood."	"గాంధీ చనిపోతున్నప్పుడు ""హే రామ్"" అని ఎప్పుడూ చెప్పలేదని, ఇది నిజంగానే అతను ఒక నమ్మకమైన హిందూ అని రుజువు చేయడానికి ప్రభుత్వం చేసిన ఒక కుట్ర అని గాడ్సే పేర్కొన్నారు."	71.3333333333333	en	telugu
Hyder paid 35 lakhs rupees in tribute to end the war, and returned most of his gains, although he did retain Sira.	యుద్ధాన్ని అంతం చేయడానికి హైడర్ 35 లక్షల రూపాయలు చెల్లించాడు, మరియు అతను సిరాను కలిగి ఉన్నప్పటికీ, తన లాభాలలో ఎక్కువ భాగాన్ని తిరిగి ఇచ్చాడు.	73.3333333333333	en	telugu
Bhopal became the new capital of the state, and Ravishankar Shukla was elected as the first Chief Minister.	భోపాల్ రాష్ట్రానికి కొత్త రాజధానిగా మారింది, మరియు రవిశంకర్ షుక్లా మొదటి ముఖ్యమంత్రిగా ఎన్నికయ్యారు.	60.0	en	telugu
According to the government, the defendants would be charged with crimes against humanity, genocide, murder, rape and arson.	ప్రభుత్వం ప్రకారం, మానవతా విరోధ నేరాలకు, జాతి హత్యలకు, హత్యలకు, అత్యాచారాలకు, అగ్నిమాపక చర్యలకు దోషిగా నిందిస్తారు.	75.0	en	telugu
"Some of Karky's most popular songs include ""Irumbile oru Irudhaiyam"" (Enthiran), ""Enamo Edho"" (Ko), ""Nee Koorinal"" (Nootrenbadhu), ""Asku Laska"" (Nanban), ""Google Google"" (Thuppakki), ""Elay Keechaan"" (Kadal), ""Osakka"" (Vanakkam Chennai), ""Selfie Pulla"" (Kaththi), ""Pookkalae Sattru Oyivedungal"" (I), ""Mei Nigara"" (24), ""Azhagiye"" (Kaatru Veliyidai), ""Endhira Logathu Sundariye"" (2.0) and ""Kurumba"" (Tik Tik Tik)."	"కర్కీ యొక్క అత్యంత ప్రాచుర్యం పొందిన పాటలలో ""ఇరుంబిలే ఓరు ఇరుధైయం"" (ఎంతిరాన్), ""ఎనామో ఎదో"" (కో), ""నీ కొరినాల్"" (నూత్రెన్బాద్), ""అస్కు లాస్కా"" (నాన్బన్), ""గూగుల్ గూగుల్"" (తుపాకీ), ""ఎలై కీచాన్"" (కడల్), ""ఒసాకా"" (వనాకామ్ చెన్నై), ""సెల్ఫీ పుల్ల"" (కథి), ""పుక్కాలాయ్ సతృ ఒయివెదుంగల్"" (ఐ), ""మే నిగారా"" (24), ""అజగీ"" (కట్రూ వెలియైడి), ""హైరా లోగథు సుందరియ"" (2. ఎండ్0) మరియు ""కురుంబు"" (టిక్ టి"	89.3333333333333	en	telugu
It stars Nandamuri Harikrishna, Jagapathi Babu, Venkat, Sivaji, Monica and music composed by S. A. Rajkumar.	నందమురి హరికృష్ణ, జగపతి బాబు, వెంకట్, శివాజీ, మోనికా నటించారు. సంగీతం ఎస్. ఎ. రాజకుమార్ రాశారు.	70.0	en	telugu
Later in Tipu sultan's time an alleged insurrection to overthrow Tipu and re establish the hindu king was plotted around 1783.	తరువాత టిప్పు సుల్తాన్ కాలంలో టిప్పును పడగొట్టడానికి మరియు హిందూ రాజును తిరిగి స్థాపించడానికి 1783లో తిరుగుబాటు జరిగింది.	80.0	en	telugu
Knowing this, Jagapati confronts Prasad.	ఈ విషయం తెలుసుకున్న జగపతి ప్రసాద్తో భేటీ అయ్యారు.	71.6666666666667	en	telugu
He also advises Rajeev to construct a temple to Ganesh and says if not built, it will be a bad omen for them.	గణేష్ కు ఆలయం నిర్మించాలని రాజీవ్ కి సలహా ఇస్తూ, అది నిర్మించకపోతే అది వారికి చెడు సంకేతం అని చెప్పారు.	80.0	en	telugu
In Test cricket, only two players i.e., Garfield Sobers and Jacques Kallis, have batting averages that are 20 greater than their bowling averages over their entire careers.	టెస్ట్ క్రికెట్లో కేవలం ఇద్దరు ఆటగాళ్లు గార్ఫీల్డ్ సోబెర్స్, జాక్ కాలిస్ మాత్రమే తమ కెరీర్ మొత్తంలో బౌలింగ్ సగటు కంటే 20 ఎక్కువ బ్యాటింగ్ సగటులను కలిగి ఉన్నారు.	45.0	en	telugu
Baran, is a city in Baran district of the Indian state of Rajasthan.	బారాన్, భారతదేశ రాజస్థాన్ రాష్ట్రంలోని బారాన్ జిల్లాలోని ఒక నగరం.	90.0	en	telugu
Lithuania has a flat tax rate rather than a progressive scheme.	లిథువేనియాలో ఒక క్రమబద్ధమైన పన్ను రేటు కంటే ఒక ఫ్లాష్ పన్ను రేటు ఉంది.	85.0	en	telugu
De Morgan arranged for the book to be republished in London under his own supervision.	డి మోర్గాన్ తన సొంత పర్యవేక్షణలో ఈ పుస్తకాన్ని లండన్లో పునః ప్రచురించాలని ఏర్పాట్లు చేశాడు.	86.6666666666667	en	telugu
Sir Seewoosagur Ramgoolam became the first prime minister of an independent Mauritius with Queen Elizabeth II remaining head of state as Queen of Mauritius.	సెయివ్వోసాగూర్ రామ్గులామ్ స్వతంత్ర మౌరిషియస్ యొక్క మొదటి ప్రధాన మంత్రిగా మారారు. మౌరిషియస్ రాణి ఎలిజబెత్ II మౌరిషియస్ రాణిగా రాష్ట్ర అధిపతిగా కొనసాగారు.	70.0	en	telugu
Puadh (IAST: [puādha], sometimes anglicized as Poadh or Powadh) is a historic region in north India that comprises parts of present-day Punjab, Haryana, Uttar Pradesh, Himachal Pradesh and the U.T.	పుధ్ (IAST: [puādha], కొన్నిసార్లు Poadh లేదా Powadh గా ఆంగ్లీకరించబడింది) ఉత్తర భారతదేశంలో ఒక చారిత్రక ప్రాంతం, ఇది ప్రస్తుత పంజాబ్, హర్యానా, ఉత్తర ప్రదేశ్, హిమాచల్ ప్రదేశ్ మరియు యుటి యొక్క భాగాలను కలిగి ఉంది.	94.6666666666667	en	telugu
The District Magistrate is assisted by one Additional District Magistrate and Ten Executive Magistrates with respect to enforcement of law and order.	చట్టాన్ని అమలు చేయడానికి జిల్లా మజిస్ట్రేట్కు ఒక అదనపు జిల్లా మజిస్ట్రేట్ మరియు పది ఎగ్జిక్యూటివ్ మజిస్ట్రేట్ సహాయపడతారు.	85.0	en	telugu
Mass civil disobedience spread throughout India as millions broke the salt laws by making salt or buying illegal salt.	ఉప్పు తయారీ లేదా చట్టవిరుద్ధమైన ఉప్పు కొనుగోలు చేయడం ద్వారా మిలియన్ల మంది ఉప్పు చట్టాలను ఉల్లంఘించినప్పుడు భారతదేశం అంతటా సామూహిక పౌర తిరుగుబాటు వ్యాపించింది.	80.0	en	telugu
Before him a parliamentary commission introduced the Armenian dram.	ఆయన ముందు ఒక పార్లమెంటరీ కమిషన్ అర్మేనియన్ డ్రామ్ను ప్రవేశపెట్టింది.	80.0	en	telugu
He also invented the first rotating anode X-ray tube.	అతను కూడా మొదటి తిరిగే అనోడ్ X- రే రే గొట్టం కనుగొన్నారు.	71.6666666666667	en	telugu
By contrast, in a substitution cipher, the units of the plaintext are retained in the same sequence in the ciphertext, but the units themselves are altered.	దీనికి విరుద్ధంగా, ఒక భర్తీ సంకేతంలో, సాధారణ టెక్స్ట్ యొక్క యూనిట్లు సంకేతపదంలో అదే క్రమంలో ఉంటాయి, కానీ యూనిట్లు కూడా మార్చబడతాయి.	80.0	en	telugu
By this time, villagers had domesticated numerous crops, including peas, sesame seeds, dates, and cotton, as well as animals, including the water buffalo.	ఈ సమయానికి, గ్రామస్తులు పుచ్చకాయలు, ససేమ్ విత్తనాలు, తాటిలు, పత్తి, అలాగే నీటి బుఫెల్ సహా జంతువులను అనేక పంటలను పెంపుడు జంతువులుగా చేశారు.	38.3333333333333	en	telugu
Iceland's largest geothermal power plants are Hellisheiði and Nesjavellir, while Kárahnjúkar Hydropower Plant is the country's largest hydroelectric power station.	ఐస్లాండ్ యొక్క అతిపెద్ద భూఉష్ణ విద్యుత్ కేంద్రాలు హెల్షిషైడి మరియు నెస్జావెల్లిర్, అయితే కారాహన్జుకర్ హైడ్రోపవర్ ప్లాంట్ దేశం యొక్క అతిపెద్ద జలవిద్యుత్ ప్లాంట్.	70.0	en	telugu
The Lepcha are largely an endogamous community.	లెప్చాలు ఎక్కువగా ఇండోగామిక్ సమాజం.	80.0	en	telugu
The Mosquito Coast remained an autonomous area until 1894.	మస్కీటో కోస్ట్ 1894 వరకు స్వయంప్రతిపత్తి కలిగిన ప్రాంతంగా మిగిలిపోయింది.	80.0	en	telugu
"She has received many national and international accolades including the ""Yuva Ojaswini Award"", an Indian national level award, and the Young Achievers Award by American Consulate."	"ఆమె ""యూవా ఒజాస్విని అవార్డు"" సహా అనేక జాతీయ మరియు అంతర్జాతీయ అవార్డులను అందుకుంది, ఇది భారతీయ జాతీయ స్థాయి అవార్డు, మరియు అమెరికన్ కాన్సులేట్ ద్వారా యంగ్ అచీవర్స్ అవార్డు."	60.0	en	telugu
The size of this complex is debated (from 100 to 300 acres).	ఈ సముదాయం యొక్క పరిమాణం గురించి చర్చ జరుగుతోంది (100 నుండి 300 ఎకరాల వరకు).	80.0	en	telugu
Lavoisier drafted their defense, refuting the financial accusations, reminding the court of how they had maintained a consistently high quality of tobacco.	లావోయిజర్ వారి రక్షణను రూపొందించారు, ఆర్థిక ఆరోపణలను తిరస్కరించారు, వారు ధూమపానం యొక్క స్థిరమైన అధిక నాణ్యతను ఎలా నిర్వహించారో కోర్టును గుర్తు చేశారు.	80.0	en	telugu
The military's immediate installation of his son, Faure Gnassingbé, as president provoked widespread international condemnation, except from France.	తన కుమారుడు ఫౌరే గ్నాసింగ్బే అధ్యక్షుడిగా సైన్యం తక్షణమే ఏర్పాటు చేయడం ఫ్రాన్స్ తప్ప ఇతర దేశాల నుంచి విస్తృత అంతర్జాతీయ ఖండింపును రేకెత్తించింది.	68.3333333333333	en	telugu
At that time Madhav Rao, a junior advocate who supervises the event of patent selling arrives at that place.	ఆ సమయంలో పేటెంట్ అమ్మకాల కార్యక్రమాన్ని పర్యవేక్షిస్తున్న ఒక యువ న్యాయవాది మాధవ్ రావు అక్కడికి వచ్చారు.	90.0	en	telugu
In Canada, the Jamaican population is centred in Toronto, with smaller communities in cities such as Hamilton, Montreal, Winnipeg, Vancouver and Ottawa.	కెనడాలో, జమైకా జనాభా టొరంటోలో కేంద్రీకృతమై ఉంది, హామిల్టన్, మోంట్రియల్, విన్నిపెగ్, వన్కోవర్ మరియు ఓట్టావా వంటి నగరాల్లో చిన్న సంఘాలు ఉన్నాయి.	80.0	en	telugu
In the south-west corner of the country, the Cape Peninsula forms the southernmost tip of the coastal strip which borders the Atlantic Ocean and ultimately terminates at the country's border with Namibia at the Orange River.	దేశంలోని నైరుతి మూలలో, కేప్ ద్వీపం అట్లాంటిక్ మహాసముద్రంతో సరిహద్దులో ఉన్న తీరప్రాంతం యొక్క దక్షిణ కొనను ఏర్పరుస్తుంది మరియు చివరికి నారింజ నది వద్ద నామిబియాతో దేశ సరిహద్దులో ముగుస్తుంది.	70.0	en	telugu
Veeraghattam is a town(Mandal) located in Srikakulam district of the Indian state of Andhra Pradesh.It is located in Veeraghattam mandal of Palakonda revenue division.	వీరఘటమ్ అనేది భారత రాష్ట్రం ఆంధ్రప్రదేశ్ లోని శ్రీకళం జిల్లాలో ఉన్న ఒక పట్టణం. ఇది పలాకోండ రెవెన్యూ డివిజన్ లోని వీరఘటమ్ మండలంలో ఉంది.	70.0	en	telugu
Trucks and trains brought in relief supplies and evacuated survivors from the city.	ట్రక్కులు, రైళ్లు సహాయ సామగ్రిని తీసుకువచ్చాయి.	90.0	en	telugu
As a result, the Slovene and Croatian delegations left the Congress and the all-Yugoslav Communist party was dissolved.	ఫలితంగా, స్లోవేనియా మరియు క్రొయేషియా ప్రతినిధులు కాంగ్రెస్ను విడిచిపెట్టారు మరియు మొత్తం యుగోస్లావియా కమ్యూనిస్ట్ పార్టీ రద్దు చేయబడింది.	68.3333333333333	en	telugu
He reunites his family and marries Gowri with his mother's consent.	అతను తన కుటుంబాన్ని తిరిగి కలుపుతాడు మరియు తన తల్లి యొక్క సమ్మతితో గౌరిని వివాహం చేసుకుంటాడు.	63.3333333333333	en	telugu
The CCTV Headquarters serves as the headquarters for China Central Television (CCTV) that was formerly at the old China Central Television Building located at 11 Fuxin Road some 15 km (9.3 mi) to the west.	సీసీటీవీ ప్రధాన కార్యాలయం చైనా సెంట్రల్ టెలివిజన్ (సిసిటివి) ప్రధాన కార్యాలయంగా పనిచేస్తుంది, ఇది గతంలో పశ్చిమానికి 15 కిలోమీటర్ల దూరంలో ఫుక్సిన్ రోడ్ 11 వద్ద ఉన్న పాత చైనా సెంట్రల్ టెలివిజన్ భవనంలో ఉంది.	75.0	en	telugu
"The authorship of the anthem ""Lord, Have Mercy on Us"" is ascribed by some historians to Saint Adalbert of Prague (sv.Vojtěch), bishop of Prague, living between 956 and 997."	"""లార్డ్, మాకు కరుణ కలిగియుండు"" అనే పాట యొక్క రచయితగా కొన్ని చరిత్రకారులు 956 మరియు 997 మధ్య నివసించిన ప్రేగ్ బిషప్ అయిన సెయింట్ అడాల్బర్ట్ (sv."	85.0	en	telugu
The Aravalli Range is rich in wildlife.	అరావల్లి రేంజ్ లో అడవి జంతువులు చాలా ఉన్నాయి.	90.0	en	telugu
Ladrilleros Beach in Colombia on the coast of Chocó natural region Point Reyes headlands, Point Reyes National Seashore, California Tahuna maru islet, French Polynesia Los Molinos on the coast of Southern Chile The volume of the Pacific Ocean, representing about 50.1 percent of the world's oceanic water, has been estimated at some 714 million cubic kilometers (171 million cubic miles).	కొలంబియాలోని లడ్రిల్లెరోస్ బీచ్, చోకో సహజ ప్రాంతం తీరంలో పాయింట్ రీస్ నేషనల్ సీషోర్, పాయింట్ రీస్ నేషనల్ సీషోర్, కాలిఫోర్నియా తహూనా మరు ద్వీపం, దక్షిణ చిలీ తీరంలో ఫ్రెంచ్ పాలినేషియా లాస్ మోలినోస్ పసిఫిక్ మహాసముద్రం యొక్క పరిమాణం, ప్రపంచంలోని సముద్రపు నీటిలో 50.1 శాతం, సుమారు 714 మిలియన్ క్యూబిక్ కిలోమీటర్లు (171 మిలియన్ క్యూబిక్ మైళ్ళు) గా అంచనా వేయబడింది.	75.0	en	telugu
"The closest meaning of Mikir could be said to be derived from ""Mekar"" (English: Fire)."	"మికిర్ యొక్క సన్నిహిత అర్థము ""మెకర్"" (ఇంగ్లీష్ః Fire) నుండి తీసుకోబడిందని చెప్పవచ్చు."	95.0	en	telugu
Pesticide use in agriculture and antiquated industrial sewage systems produce extensive soil and water pollution.	వ్యవసాయ రంగంలో పెస్టిసిడ్ వాడకం, పాత పారిశ్రామిక మురుగునీటి వ్యవస్థలు విస్తృతమైన మట్టి, నీటి కాలుష్యాన్ని సృష్టిస్తాయి.	70.0	en	telugu
Tertiary education in Nigeria consists of universities (Public and Private), polytechnics, monotechnics, and colleges of education.	నైజీరియాలో ఉన్నత విద్యలో విశ్వవిద్యాలయాలు (ప్రభుత్వ మరియు ప్రైవేట్), పాలిటెక్నిక్, మోనోటెక్నిక్ మరియు విద్య కళాశాలలు ఉన్నాయి.	85.0	en	telugu
While Bhattacharyya's view is mostly undisputed, some scholars such as S. Shankaranarayanan – the author of The Ten Great Cosmic Powers – attribute Chhinnamasta to Vedic (ancient Hindu) antecedents.	భత్తాచర్య యొక్క అభిప్రాయం ఎక్కువగా వివాదాస్పదంగా ఉండగా, పది గొప్ప కాస్మిక్ పవర్స్ రచయిత అయిన S. శంఖరనారాయణ వంటి కొందరు పండితులు చినమస్తను వేద (ప్రాచీన హిందూ) పూర్వీకులకు వర్తింపజేస్తారు.	65.0	en	telugu
Neanderthals are thought to have been more closely related to Denisovans than to modern humans.	ఆధునిక మానవులతో పోలిస్తే, నియాండర్తల్ లు డెనిసోవాన్లతో మరింత సన్నిహితంగా సంబంధం కలిగి ఉన్నట్లు భావిస్తారు.	80.0	en	telugu
The train passes through the states of Tamil Nadu, Andhra Pradesh, Telangana, Maharashtra, Madhya Pradesh, Rajasthan, Uttar Pradesh, Haryana and Delhi.	ఈ రైలు తమిళనాడు, ఆంధ్రప్రదేశ్, తెలంగాణ, మహారాష్ట్ర, మధ్యప్రదేశ్, రాజస్థాన్, ఉత్తరప్రదేశ్, హర్యానా, ఢిల్లీ రాష్ట్రాల గుండా వెళుతుంది.	80.0	en	telugu
Ranjit's unpopular legitimate son, Kharak Singh, was removed from power within a few months, and later died in prison under mysterious circumstances.	రాంజిత్ కుమార్తె ఖరాక్ సింగ్ కొన్ని నెలల్లోనే అధికారంలో నుంచి తొలగించబడ్డాడు. తరువాత రహస్య పరిస్థితుల్లో జైలులో మరణించాడు.	85.0	en	telugu
This left a very small group of individuals able to partake in politics in the Ottoman Empire.	ఈ కారణంగా ఒట్టోమన్ సామ్రాజ్యం లో రాజకీయాల్లో పాల్గొనేందుకు చాలా చిన్న సమూహం మాత్రమే అనుమతించబడింది.	78.3333333333333	en	telugu
There are approximately 60,000 species in Norway and adjacent waters (excluding bacteria and viruses).	నార్వే మరియు దాని చుట్టుపక్కల జలాల్లో (బ్యాక్టీరియా మరియు వైరస్లు మినహాయించి) సుమారు 60,000 జాతులు ఉన్నాయి.	70.0	en	telugu
Hungarian traditional music tends to have a strong dactylic rhythm, as the language is invariably stressed on the first syllable of each word.	హంగేరియన్ సాంప్రదాయ సంగీతం బలమైన డాక్టిలిక్ లయను కలిగి ఉంటుంది, ఎందుకంటే భాష ప్రతి పదం యొక్క మొదటి అక్షరంపై ఎల్లప్పుడూ నొక్కి చెబుతుంది.	88.3333333333333	en	telugu
This was part of Tata's second major foray into the aviation sector along with a minority stake in AirAsia India.	ఎయిర్ ఏషియా ఇండియాలో చిన్న వాటాతో పాటు విమానయాన రంగంలో టాటా రెండో పెద్ద చొరవలో ఇది భాగం.	90.0	en	telugu
It is also just 3 km away from Mettuguda junction, where the road leading to Uppal and the International Airport is being expanded into eight lanes.	మెట్టూగుడా విహారయాత్రకు కేవలం 3 కిలోమీటర్ల దూరంలో ఉన్న ఈ విహారయాత్ర, ఉప్పాల్, అంతర్జాతీయ విమానాశ్రయాలకు దారితీసే రహదారిని ఎనిమిది లైన్లుగా విస్తరిస్తోంది.	50.0	en	telugu
The district is part of Lucknow Division.	ఈ జిల్లా లక్నో డివిజన్ లో భాగం.	78.3333333333333	en	telugu
The resulting water can be highly acidic and is called acid mine drainage (AMD) or acid rock drainage (ARD).	దీని ఫలితంగా ఏర్పడే నీరు అధికంగా ఆమ్లంగా ఉంటుంది మరియు దీనిని ఆమ్ల మైన్ డ్రెనేజ్ (AMD) లేదా ఆమ్ల రాక్ డ్రెనేజ్ (ARD) అని పిలుస్తారు.	76.6666666666667	en	telugu
